Connecting to host 192.168.57.7, port 5201
[  4] local 192.168.57.35 port 39156 connected to 192.168.57.7 port 5201
[  4]  68.00-69.00  sec  25.9 MBytes   217 Mbits/sec   31    100 KBytes       
[  4]  69.00-70.00  sec  33.7 MBytes   283 Mbits/sec    5    184 KBytes       
[  4]  70.00-71.00  sec  33.6 MBytes   282 Mbits/sec    8    157 KBytes       
[  4]  71.00-72.00  sec  36.5 MBytes   306 Mbits/sec    6    168 KBytes       
[  4]  72.00-73.00  sec  32.3 MBytes   271 Mbits/sec   10   99.0 KBytes       
[  4]  73.00-74.00  sec  36.1 MBytes   303 Mbits/sec    9    232 KBytes       
[  4]  74.00-75.00  sec  35.2 MBytes   296 Mbits/sec   29   82.0 KBytes       
[  4]  75.00-76.00  sec  17.2 MBytes   144 Mbits/sec   41   63.6 KBytes       
[  4]  76.00-77.00  sec  23.6 MBytes   198 Mbits/sec   18    154 KBytes       
[  4]  77.00-78.00  sec  42.8 MBytes   359 Mbits/sec    9    136 KBytes       
[  4]  78.00-79.00  sec  32.6 MBytes   274 Mbits/sec   18    113 KBytes       
[  4]  79.00-80.00  sec  30.9 MBytes   259 Mbits/sec   19    178 KBytes       
[  4]  80.00-81.00  sec  31.6 MBytes   265 Mbits/sec   19   72.1 KBytes       
[  4]  81.00-82.00  sec  25.7 MBytes   216 Mbits/sec   21    130 KBytes       
[  4]  82.00-83.00  sec  26.7 MBytes   224 Mbits/sec    9   94.7 KBytes       
[  4]  83.00-84.00  sec  22.6 MBytes   190 Mbits/sec   14   90.5 KBytes       
[  4]  84.00-85.00  sec  27.7 MBytes   232 Mbits/sec   14    137 KBytes       
[  4]  85.00-86.00  sec  30.4 MBytes   255 Mbits/sec   11   82.0 KBytes       
[  4]  86.00-87.00  sec  26.2 MBytes   219 Mbits/sec   38   91.9 KBytes       
[  4]  87.00-88.00  sec  24.4 MBytes   205 Mbits/sec   14    107 KBytes       
[  4]  88.00-89.00  sec  25.4 MBytes   213 Mbits/sec   32   93.3 KBytes       
[  4]  89.00-90.00  sec  30.8 MBytes   259 Mbits/sec   26    123 KBytes       
[  4]  90.00-91.00  sec  31.5 MBytes   264 Mbits/sec   17    113 KBytes       
[  4]  91.00-92.00  sec  36.3 MBytes   304 Mbits/sec    6    182 KBytes       
[  4]  92.00-93.00  sec  27.3 MBytes   229 Mbits/sec   21   94.7 KBytes       
[  4]  93.00-94.00  sec  34.2 MBytes   287 Mbits/sec    5    164 KBytes       
[  4]  94.00-95.00  sec  36.6 MBytes   307 Mbits/sec   15   60.8 KBytes       
[  4]  95.00-96.00  sec  25.2 MBytes   211 Mbits/sec   17    110 KBytes       
[  4]  96.00-97.00  sec  23.3 MBytes   195 Mbits/sec   24   66.5 KBytes       
[  4]  97.00-98.00  sec  18.3 MBytes   154 Mbits/sec   29    100 KBytes       
[  4]  98.00-99.00  sec  25.7 MBytes   216 Mbits/sec   14    160 KBytes       
[  4]  99.00-100.00 sec  32.7 MBytes   275 Mbits/sec   22    107 KBytes       
[  4] 100.00-101.00 sec  20.1 MBytes   169 Mbits/sec   17   89.1 KBytes       
[  4] 101.00-102.00 sec  26.2 MBytes   220 Mbits/sec   15    105 KBytes       
[  4] 102.00-103.00 sec  22.2 MBytes   187 Mbits/sec   13    102 KBytes       
[  4] 103.00-104.00 sec  26.0 MBytes   218 Mbits/sec   17    132 KBytes       
[  4] 104.00-105.00 sec  30.0 MBytes   252 Mbits/sec   30   80.6 KBytes       
[  4] 105.00-106.00 sec  26.0 MBytes   218 Mbits/sec   13   62.2 KBytes       
[  4] 106.00-107.00 sec  24.7 MBytes   207 Mbits/sec    4    161 KBytes       
[  4] 107.00-108.00 sec  29.1 MBytes   244 Mbits/sec   25   63.6 KBytes       
[  4] 108.00-109.00 sec  28.2 MBytes   236 Mbits/sec   20    139 KBytes       
[  4] 109.00-110.00 sec  25.4 MBytes   213 Mbits/sec    9   74.9 KBytes       
[  4] 110.00-111.00 sec  29.4 MBytes   247 Mbits/sec   10    153 KBytes       
[  4] 111.00-112.00 sec  24.2 MBytes   203 Mbits/sec   19    132 KBytes       
[  4] 112.00-113.00 sec  21.7 MBytes   182 Mbits/sec   25    100 KBytes       
[  4] 113.00-114.00 sec  22.7 MBytes   191 Mbits/sec   25    126 KBytes       
[  4] 114.00-115.00 sec  23.9 MBytes   200 Mbits/sec   27   73.5 KBytes       
[  4] 115.00-116.00 sec  31.7 MBytes   265 Mbits/sec   23    147 KBytes       
[  4] 116.00-117.00 sec  40.0 MBytes   336 Mbits/sec   14   90.5 KBytes       
[  4] 117.00-118.00 sec  27.5 MBytes   230 Mbits/sec   21    144 KBytes       
[  4] 118.00-119.00 sec  25.7 MBytes   216 Mbits/sec   30   87.7 KBytes       
[  4] 119.00-120.00 sec  31.8 MBytes   266 Mbits/sec    6    170 KBytes       
[  4] 120.00-121.00 sec  41.4 MBytes   347 Mbits/sec   10    158 KBytes       
[  4] 121.00-122.00 sec  31.3 MBytes   262 Mbits/sec   10    140 KBytes       
[  4] 122.00-123.00 sec  22.2 MBytes   186 Mbits/sec   15   89.1 KBytes       
[  4] 123.00-124.00 sec  25.0 MBytes   210 Mbits/sec   17    124 KBytes       
[  4] 124.00-125.00 sec  29.6 MBytes   248 Mbits/sec   17    107 KBytes       
[  4] 125.00-126.00 sec  27.5 MBytes   230 Mbits/sec   24    117 KBytes       
[  4] 126.00-127.00 sec  32.5 MBytes   273 Mbits/sec   13    144 KBytes       
[  4] 127.00-128.00 sec  33.4 MBytes   280 Mbits/sec   24   48.1 KBytes       
[  4] 128.00-129.00 sec  31.8 MBytes   266 Mbits/sec    0    225 KBytes       
[  4] 129.00-130.00 sec  42.8 MBytes   359 Mbits/sec   16    137 KBytes       
[  4] 130.00-131.00 sec  35.5 MBytes   298 Mbits/sec    9    144 KBytes       
[  4] 131.00-132.00 sec  29.1 MBytes   244 Mbits/sec   29   66.5 KBytes       
[  4] 132.00-133.00 sec  22.4 MBytes   188 Mbits/sec    7   94.7 KBytes       
[  4] 133.00-134.00 sec  30.3 MBytes   254 Mbits/sec    7    141 KBytes       
[  4] 134.00-135.00 sec  27.0 MBytes   226 Mbits/sec   17    105 KBytes       
[  4] 135.00-136.00 sec  25.5 MBytes   214 Mbits/sec   16    136 KBytes       
